Boroughs,Bus Route,Classification,Confidence,Create_Date,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Date_of_Incident,DateFK,Day,Description,Easting,Hour,HourGroup,Year,Quarter,Month,Day,IRIS,Location / Road Name,Modified_Date,Month,MonthNum,Northing,ReportingLag,Time,Time_of_Incident,URN,Victims Job,Weekday,Year
BARNET,112,Assault,3,1670368823,2022,Qtr 4,December,6,2022,Qtr 4,December,7,2459919,20221205,5,a young lad came in my bus with two bottle of wine as i told him you can not travel with open wine bottle then he started swearing at me at that point i told him i am gonna coll the police so on the way out he poured one bottle on the assault screen and he left.I then called the iBus and told them what happend and they instructed me to take the bus back to Garage.,523234,22,10pm-2am,2022,Qtr 4,December,5,IRIS,Prince Charles Drive,1670440171,December,12,187875,1,1899-12-30 22:02:00,79320,1093832,Bus Driver,Monday,2022
BARNET,112,Assault,3,1671419426,2022,Qtr 4,December,19,2022,Qtr 4,December,21,2459932,20221218,18,On route  and in service to Ealing  a customer got on my bus and touhed his card which read not valid. He then claimed the machine doesnt work so l told him it works and that he should touch again and l will  tell him what it says on his card. He touches and when l told him it works and what it says on his card. He thought l was going to refuse him to stay on the bus but normally at this time of morning l say nothing to them .But instead of walking away he decided to verbally abuse me threathen and intemidate me in the view it scares me . He went on to punch my foor and tried ti rip my door open .And thats when l got scared and fler he has cross the line for no reason .So l then called for police help of which l was told they have been informed and may be on their way soon. I also informed my controller and he advised l should let him know when its all clear. Centercom continue to check on me and adviced me to stay in my cab which l know. It took almost 2 hours and the police did not arrive. Customers on the bus simpertised with me and cinfronted  this third party to get off the bus since even if the police eventually arrive he had no justification for hus actions.eventually he left the bus and the last 2 customers had their uber arrive and also left. L then informed centercom and my controller respectivlly and proceded ti the garage,523420,0,10pm-2am,2022,Qtr 4,December,18,IRIS,Prince Charles Drive,1671621585,December,12,187997,1,1899-12-30 00:04:00,240,1097333,Bus Driver,Sunday,2022
BARNET,112,Assault,3,1674583668,2023,Qtr 1,January,24,2023,Qtr 1,January,24,2459966,20230121,21,Passenger verbal assault. And marker punch toward my face,523390,19,6pm-10pm,2023,Qtr 1,January,21,IRIS,Bremy Cross Bus station,1674583668,January,1,187947,3,1899-12-30 19:24:00,69840,1107471,Bus Driver,Saturday,2023
BARNET,112,Assault,3,1675638831,2023,Qtr 1,February,5,2023,Qtr 1,February,15,2459981,20230205,5,"Reported air leaks affecting air pressure gauge when at heinley corner. 
When we were just coming off the north circular doors were affected by the low pressure preventing the bus from departing the traffic lights. 
When I manage to resume service approaching the next bus stop I realise nobody is there and nobody is requesting to alight , so I continue towards the next.  At that point someone presses the bell shouting and coming to the cab telling me off because I didn’t stop. 
By that time we are at the next stop and when I press to open both doors the rear door fails and passengers, including that man are thinking that I’m doing it on purpose but unfortunately the rear door is inoperable. 
When on the pavement the man approaching the front of the bus is trying to remove the mirror but unfortunately it’s secured and then he flips it around, punch it braking the large glass/ mirror.",526472,18,6pm-10pm,2023,Qtr 1,February,5,IRIS,A1000,1676444387,February,2,191481,0,1899-12-30 18:00:00,64800,1110858,Bus Driver,Sunday,2023
BARNET,113,Assault,3,1671727192,2022,Qtr 4,December,22,2022,Qtr 4,December,23,2459930,20221216,16,"incident report that occured on Friday 16th December 2022 at approximately 6:35pm.

as i was ready to pull away from the vale bus stop waiting behind another 113 VMH2531. 

i noticed a group of black kids walking past the 113 in front. one of them opened the front door from outside and forced himself boarding the bus. 

i asked him what was wrong with the bus in front? by this time whole group boarded banging on my assault screen and telling me to step outside the cab. 

as i felt threatened and intimidated i switch off the engine, did code blue red and put on assault alarm. Whilst waiting for reply on the radio they left alighting the bus.",524398,18,6pm-10pm,2022,Qtr 4,December,16,IRIS,The Vale,1671796934,December,12,186838,6,1899-12-30 18:35:00,66900,1098612,Bus Driver,Friday,2022
BARNET,113,Assault,3,1679664294,2023,Qtr 1,March,24,2023,Qtr 1,March,27,2460028,20230324,24,"I was 'On Time' with 'perfect' headways when a passenger approached the cab to complain about the 'slow driving' with threatening and abusive language. Refuses to listen as I tried to explain the bus was actually 'On Schedule'.
Later causes a distraction by taking photos of me whilst I was driving.
He continued with the threats and abuse as he alighted at Finchley Road Station.",523072,10,10am-2pm,2023,Qtr 1,March,24,IRIS,Hendon Way,1679902896,March,3,188270,0,1899-12-30 10:05:00,36300,1125957,Bus Driver,Friday,2023
BARNET,113,Assault,3,1686135920,2023,Qtr 2,June,7,2023,Qtr 2,June,8,2460102,20230606,6,"When I got to Hendon War Memorial bus stop, I picked up passenger and when I closed the door and one of the youth wanted to get on the bus, I opened the door, he came on He did not had money in his oyster card, I respectfully asked him that He needs to pay because it didn't go through.

He then smashed the assault screen three to four times & the metal broke.

Informed code red and ibus about the incident & followed their instructions.",522714,14,2pm-6pm,2023,Qtr 2,June,6,IRIS,Watford Way,1686209183,June,6,188918,1,1899-12-30 14:33:00,52380,1148076,Bus Driver,Tuesday,2023
BARNET,113,Assault,3,1687245774,2023,Qtr 2,June,20,2023,Qtr 2,June,21,2460115,20230619,19,"A regular fare evasion person board in bus when I challenged he spat the driver cab screen. I called Ibus and informed them and he came off. He live on Watford way near Southfield and he is a usual, giving trouble to the drivers.",522901,14,2pm-6pm,2023,Qtr 2,June,19,IRIS,Queens Road,1687336884,June,6,188645,1,1899-12-30 14:20:00,51600,1152517,Bus Driver,Monday,2023
BARNET,113,Assault,3,1693294614,2023,Qtr 3,August,29,2023,Qtr 3,August,30,2460182,20230825,25,"Earlier in the day I had a young male passenger who boarded the bus with payment card which come up as not useable . He was aggressive to me and abusive wanted free travel . However a passenger paid his fare . Later in the day he boarded the bus at Finchley & frognal station on doing so he made it clear he was paying this time , I thanked him with a kind gesture of a clap of my hands . He then became very abusive with swearing saying there you go you mother fucker saying this continuously on several occasions in front of other passengers . I put pa announcement on once he went onto upper deck made him aware I would not tolerate him talking to me in a disrespectful manner again if he continued I’d call the police . I continued in service feeling a bit upset . On arrival at woodville gardens he left the bus through rear doors . I closed rear doors then started closing front doors when I noticed he approached the front doors shouting at me once again being abusive and was holding a opened can of beer to which he was drinking on bus as it was not opened when he boarded . Next he stepped in front of bus on a busy A41 and stood in front of the bus laughing holding his beer and mobile phone taking picture of registration. I immediately done a code Red to inform nmcc of this as he was obstructing my departure. He then eventually removed himself shouting even more abusive language towards me .",523855,16,2pm-6pm,2023,Qtr 3,August,25,IRIS,Woodville Gardens,1693367449,August,8,187771,4,1899-12-30 16:40:00,60000,1179801,Bus Driver,Friday,2023
BARNET,113,Assault,3,1693810134,2023,Qtr 3,September,4,2023,Qtr 3,September,4,2460188,20230831,31,"Passenger got on the bus with electric scooter, I asked him that he cannot board with that, he got angry and started verbally assaulted me. I did a code red and waited for the assistance eventually he got off the bus.

I then continued my journey and followed the instructions of the ibus.",522264,13,10am-2pm,2023,Qtr 3,August,31,IRIS,Watford Way,1693810134,August,8,190729,4,1899-12-30 13:28:00,48480,1181964,Bus Driver,Thursday,2023
BARNET,125,Assault,3,1694516975,2023,Qtr 3,September,12,2023,Qtr 3,September,12,2460199,20230911,11,Passenger got on board and became abusive and threatening towards the driver,0,16,2pm-6pm,2023,Qtr 3,September,11,IRIS,BALLARDS LANE,1694516975,September,9,0,1,1899-12-30 16:07:00,58020,1186035,Bus Driver,Monday,2023
BARNET,134,Assault,3,1666925915,2022,Qtr 4,October,28,2022,Qtr 4,October,28,2459881,20221028,28,3 passengers board the bus with no pass and they are abusive and swearing at me. I refused to pick them up. They got off the bus and press and hold the exit button from outside i can't close door and the bus will not  move without closing the door. I did a code blue to request police assistance and  i informed ibus as well. Around 01.40 they left i cancelled the police request and i informed ibus all clear to move.,528654,1,10pm-2am,2022,Qtr 4,October,28,IRIS,Wood Lane,1666939204,October,10,188361,0,1899-12-30 01:25:00,5100,1082324,Bus Driver,Friday,2022
BARNET,134,Assault,3,1692824560,2023,Qtr 3,August,23,2023,Qtr 3,August,25,2460179,20230822,22,"< I would like to complain about bus driver from bus 134. It was very wierd and scary journey. I start Travelling from warren street around 18:30 ( journey end around 19:15 at north circular road) toward north circular road / north finchley.Bus driver acts very strange and drive very bad. He doesnt care about passangers life and make a danger for them and people on the road.Basicaly he drive very aggressive, speed/accelerate up like a crazy in short distances and then brakes the same in last moment . He doesnt wait for people who walking down from upstairs to let them go out from bus. Just drive to next bus stop ignoring passengers who tried tell him to open the door or wait for people from up stars. On one of the bus stops he doesnt wait for little kid who walking down stars with father and accelerate like a crazy and then breaks in a second so a little child fall down from the stair and hit with head on the stairs. It was madness. All way looks like this with this driver. Just before my stop he accelerate again and even when he saw a red light he start breaking very late , to even stops after white line on red light. In the middle of the journey he decide to stop on a bus stop and start talking by his phone.It was worst journey ever , very scary and dangerous because of the way how the bus driver drive. I dont knolkw if some one check their ability to drive but i was scared all the way. Im diabetic and stress doesnt help me and its affect my sugar. In one moment my sugar was very high and i start be sleepy. I was afraid to take correct amount of insulin as i was not sure if he doesnt crash the bus in the middle of the road and then i will be not able to rise it after injection.People like this man shouldnt drive a bus when they are responsible for other people life safety and safety on the road >
 Good afternoon 
Firstly I  disagree with him because I didn't do anything wrong . The lady came to me and she said you didn't do anything wrong , I asked her can you please write your number and name . Secondly I had important phone call about my health, I couldn't change my appointment. When I stopped at the bus stop I apologised the passengers and I said to them this is the emergency call is not too long but the gentleman did complained, sweared to me and very aggressive . The call lasted about two minutes and again I apologise to passengers and then continued with the journey to my intended destination .",529125,19,6pm-10pm,2023,Qtr 3,August,22,IRIS,Colney Hatch Lane,1692952158,August,8,192399,1,1899-12-30 19:00:00,68400,1178126,Bus Driver,Tuesday,2023
BARNET,134,Assault,3,1694033971,2023,Qtr 3,September,6,2023,Qtr 3,September,11,2460194,20230906,6,"Inconsiderate driver with a lovely vocabulary LR 68 KTA red skoda fabia that cuts in front of the bus without indicating, using a mobile phone while in control of the car, cut lane, forcing a trafic light and drive on the bus lane. 
If any of those appear on cctv Please send the images to the police or else this kind of drivers will never learn.",529370,17,2pm-6pm,2023,Qtr 3,September,6,IRIS,Alexandra Park Road,1694428475,September,9,190564,0,1899-12-30 17:52:00,64320,1183185,Bus Driver,Wednesday,2023
BARNET,139,Assault,3,1674722800,2023,Qtr 1,January,26,2023,Qtr 1,February,2,2459969,20230124,24,"I was dealing with late takeover 139 driver who become disrespectful and aggressive while trying to deal with, the driver shut the front door and clamp my right foot, after 24 hrs, my foot is swallowed a bit and bruised.",525199,13,10am-2pm,2023,Qtr 1,January,24,IRIS,Golders Green Road,1675345836,January,1,187434,2,1899-12-30 13:00:00,46800,1108151,Bus Driver,Tuesday,2023
BARNET,139,Assault,3,1695804935,2023,Qtr 3,September,27,2023,Qtr 4,October,2,2460206,20230918,18,"Driver stated that: passenger came on without tapping the ticket and walked pass, I called him back to challenge him and then him told me that the woman in front of him would pay for his ticket.
Which she wasn't, so I asked him to tap in he did with no credit on his card and I told him to top up his card in order to travel. He didn't want to do that and he got abusive. 
I did a code red  to ask for police assistance and when he heard this he walked off the bus.",524953,5,2am-6am,2023,Qtr 3,September,18,IRIS,Finchley road,1696284115,September,9,187685,9,1899-12-30 05:39:00,20340,1191349,Bus Driver,Monday,2023
BARNET,142,Assault,3,1665998925,2022,Qtr 4,October,17,2022,Qtr 4,October,17,2459867,20221014,14,PASSENGER SHOUTING AND SCREAMING AT THE DRIVER ALSO SPAT AT THE CAB SCREEN,0,8,6am-10am,2022,Qtr 4,October,14,IRIS,COLINDALE AVENUE,1665998925,October,10,0,3,1899-12-30 08:50:00,31800,1078014,Bus Driver,Friday,2022
BARNET,142,Assault,3,1694528663,2023,Qtr 3,September,12,2023,Qtr 3,September,13,2460199,20230911,11,"I was departing From the Drop off point when someone rang the bell, i informed her the next stop was pick up only, then she mumbled something that i did not catch, i told her to be quiet, then she came up to me at the bus stop and stated ""Why dont you retire"" which is age discrimination",519552,12,10am-2pm,2023,Qtr 3,September,11,IRIS,Station Approach Road,1694585241,September,9,191784,1,1899-12-30 12:48:00,46080,1186063,Bus Driver,Monday,2023
BARNET,142,Assault,3,1695621386,2023,Qtr 3,September,25,2023,Qtr 3,September,26,2460210,20230922,22,I pulled up at Whitchurch lane bus stop to let people on and off and suddenly a woman came onto the bus and started banging the assault screen and said. Mother fucker fuck you. I was totally shocked by this. I carried on and got back to the garage and made an occurrence report,518635,16,2pm-6pm,2023,Qtr 3,September,22,IRIS,Whitchurch Lane,1695729036,September,9,191315,3,1899-12-30 16:13:00,58380,1190253,Bus Driver,Friday,2023
BARNET,143,Assault,3,1675883080,2023,Qtr 1,February,8,2023,Qtr 1,February,8,2459977,20230201,1,Two friends come on board the bus 1 as a pass the next one doesn't so they were going past I stop them and I turned and said can you swipe your card please by me saying that they both start get abusive telling me to go suck my mum so I draw attention to the controller and let him know what happened and that was it,523234,13,10am-2pm,2023,Qtr 1,February,1,IRIS,Prince Charles Drive,1675883080,February,2,187875,7,1899-12-30 13:18:00,47880,1111902,Bus Driver,Wednesday,2023
BARNET,182,Assault,3,1676296578,2023,Qtr 1,February,13,2023,Qtr 1,February,16,2459986,20230210,10,Passenger was argued and spate on cab door,521374,21,6pm-10pm,2023,Qtr 1,February,10,IRIS,Neasden underpass,1676530973,February,2,185861,3,1899-12-30 21:40:00,78000,1113227,Bus Driver,Friday,2023
BARNET,182,Assault,3,1680518479,2023,Qtr 2,April,3,2023,Qtr 2,April,4,2460035,20230331,31,"At sudbury and harrow road bus stop heading towards Bx, while I was on the move I could hear a passenger shouting that I didn't pick his son from the bus stop. The lady passenger was insisting to stop the bus so she might get off. I move the bus forward in a safe place, while his  son ran and get in the back door. I closed the door to move on then he come and started to banging at the cab door and started swearing at me. I stopped at the next stop call code red. As the mother and son heard that police is on the way they open the door and left. Then I cancel the back and called the garage controller to carry on",516888,13,10am-2pm,2023,Qtr 1,March,31,IRIS,Harrow Road,1680589160,March,3,185289,3,1899-12-30 13:44:00,49440,1127701,Passenger / Customer,Friday,2023
BARNET,186,Assault,3,1668064858,2022,Qtr 4,November,10,2022,Qtr 4,November,15,2459893,20221109,9,"2 males passenger had an argument, pushing each other. I called code red, informed band 3. Than I followed instructions from band 3.",517818,11,10am-2pm,2022,Qtr 4,November,9,IRIS,Wemborough rd,1668501418,November,11,191094,1,1899-12-30 11:09:00,40140,1086024,Passenger / Customer,Wednesday,2022
BARNET,186,Assault,3,1675261283,2023,Qtr 1,February,1,2023,Qtr 1,February,10,2459977,20230201,1,"As the bus pull.in at the last stop to terminate at brtx, a bottle went fly pass the front of the bus narrowly missing the bus. As I opened both doors to drop the passengers, the next thing a man banging my window and shouting you want f@@k with me, he then comes round into the bus and banging the cab door shouting don't f@@k with me. I ask him what is your problem, he  turns around and stood  on the platform by doorstep with his back towards me, he then was telling passers-by to pick his bottle and pass him, which all ignored. So he gets off and picked himself as he turned around after picking, he wacked a female person with bottle who  was passing by(got off from the bus behind) meanwhile I had shut both doors abd stood watching the scenario.  After assaulting the female he turned around and walked behind passing the bus and saw him nearly assault another woman. She got scared and stood against the wall frightened as he passed by her heading towards the corner of the wall. His discription #black male#age 18 to 25#stokie built",523234,3,2am-6am,2023,Qtr 1,February,1,IRIS,Prince Charles Drive,1676038726,February,2,187875,0,1899-12-30 03:43:00,13380,1109973,Bus Driver,Wednesday,2023
BARNET,186,Assault,3,1678693235,2023,Qtr 1,March,13,2023,Qtr 1,March,13,2460015,20230311,11,I had 1 passanger on my bus probably mentally ill person didn't have any co operation with driver instead chose to verbally abuse to driver for not seeing him but druver did pick him up he was so aggressive i had to call to police police did attend 45 min after but person left already. Driver left with all of those abuse in that 45 min period saddly person caused that get away with that due police attemded very late.driver carried on and completed the duty at least duty card running except 1trip missing .regards,521351,19,6pm-10pm,2023,Qtr 1,March,11,IRIS,Station Road,1678700183,March,3,191903,2,1899-12-30 19:05:00,68700,1121846,Bus Driver,Saturday,2023
BARNET,186,Assault,3,1678693082,2023,Qtr 1,March,13,2023,Qtr 1,March,13,2460016,20230312,12,At st lawrence church bus stop at whitchurch lane towards northwick park one guy came to my bus and asked for the free ride when I told him its not fair coz everybody are paying then suddenly he hit the screen of drivers cab with his head resulting a crack on the sreen.then he walked away.,518568,10,10am-2pm,2023,Qtr 1,March,12,IRIS,Whitchurch Lane,1678699912,March,3,191306,1,1899-12-30 10:36:00,38160,1121751,Bus Driver,Sunday,2023
BARNET,186,Assault,3,1685432684,2023,Qtr 2,May,30,2023,Qtr 2,May,30,2460092,20230527,27,"Driver was racially abused by IC3 male 
( unprovoked attack) 
Racially abused, finger gestures and threatening words  
This was an unprovoked attack",518080,12,10am-2pm,2023,Qtr 2,May,27,IRIS,CHURCH ROAD,1685432684,May,5,191233,3,1899-12-30 12:45:00,45900,1145034,Bus Driver,Saturday,2023
BARNET,186,Assault,3,1691994308,2023,Qtr 3,August,14,2023,Qtr 3,August,14,2460170,20230813,13,1 Jamaican origin lady was catch up in last minute and I stop and waited for her but once she boarded the bus she was so aggresif told me to drive nothing to do with me for pass or fare which I didn't say anything and she kept going about me front of passengers with werbal abuse calling me repeatedly stupid idiot and I warned her if she keep going like that I have make her to leave the bus and she was quite for 2minute but after I decided to carry on my job she started again to calling me all those names front of passengers I had to stop unfortunately to sort out this but she didn't cooperate with me and I consulted Centre com and been told switch off the bus and tell her your not driving the bus unless she left the bus which I did.after for a while she left police didn't attend and I completed my duty.,521351,17,2pm-6pm,2023,Qtr 3,August,13,IRIS,Station Road,1691994308,August,8,191903,1,1899-12-30 17:24:00,62640,1173560,Bus Driver,Sunday,2023
BARNET,204,Assault,3,1677572527,2023,Qtr 1,February,28,2023,Qtr 1,March,2,2460003,20230227,27,"AFTER SERVING THE STOP, WHILE CLOSING THE DOOR A PASSENGER RUN INTO THE CLOSING DOOR. HE STARTED TO VERBALY ABUSE ME AND BEATING ON THE WINDOWS. WHEN IT WAS CLEAR I CONTINUED IN SERVICE.",519907,16,2pm-6pm,2023,Qtr 1,February,27,IRIS,Burnt Oak Broadway,1677763541,February,2,190741,1,1899-12-30 16:49:00,60540,1117836,Bus Driver,Monday,2023
BARNET,204,Assault,3,1682580635,2023,Qtr 2,April,27,2023,Qtr 2,May,3,2460061,20230426,26,A passenger abused another passenger verbally. I informed NMCC and waited for police to come.,520693,12,10am-2pm,2023,Qtr 2,April,26,IRIS,Watling Avenue,1683101079,April,4,190959,1,1899-12-30 12:03:00,43380,1133732,Passenger / Customer,Wednesday,2023
BARNET,210,Assault,3,1668039976,2022,Qtr 4,November,10,2022,Qtr 4,November,11,2459893,20221109,9,"At 19.55 I was curtailed at golders Green.one passenger on his way out was not to happy about it....I move and stop the bus at the traffic lights he came to the drivers window and asked 
How you think you are to terminate the bus over here....
I replied by saying I'm just the driver and I just follow orders
He became to verbally assault me and spat at me.
I closed the window and he slapped the mirror....I move on but I was screaming name's at me....I open the window to reajust my mirror and told him walk away please.
I turned the bus around and I was there taking pictures of the bus and myself ...a few minutes later I was outside the bus smoking a cigarette he came to me and told me....using bad language call me names listen don't you think this terminates here I'm going to report for using your mobile phone when you driving....I replied do what you want to do but please leave me alone and  Don't came any closer to me.....I began to call me names again and said I'm going to make you lose your job and next time I see I will break all your teeth......I don't want to press charges against him but if you as company want to do it fine by me....
I just want to be able to refuse this passenger on my bus if he ever came back........thank you",524714,19,6pm-10pm,2022,Qtr 4,November,9,IRIS,Golders Green Road,1668167556,November,11,187491,1,1899-12-30 19:50:00,71400,1085613,Bus Driver,Wednesday,2022
BARNET,210,Assault,3,1676869181,2023,Qtr 1,February,20,2023,Qtr 1,February,22,2459993,20230217,17,A PASSENGER COME TO ME AT BRENT CROSS SHOPPING CENTER AND TOLD ME THAT A KID HIT HIM IN HIS HEAD UPPER SALOON.,523910,18,6pm-10pm,2023,Qtr 1,February,17,IRIS,Highfield Avenue,1677062678,February,2,187934,3,1899-12-30 18:10:00,65400,1114933,Passenger / Customer,Friday,2023
BARNET,221,Assault,3,1666351104,2022,Qtr 4,October,21,2022,Qtr 4,October,26,2459873,20221020,20,"I PICXKED UP X2 WOMEN AND X3 CHILDREN, ONE WAS IN A RED BUGGY. ONE OF THE WOMEN HAD NO FARE, WNOTHER PASSENGER PAID FOR HER. AT WITROSE @ 1800HRS THEY ALIGHTED THE BUS & ONE OF THE WOMEN, WHO HAD RED BLACK BYED HAIR RACIALLY ABUSED ME AND SPAT IN MY DIRECTION HITTING THE ASSAULT SCREEN.",526651,18,6pm-10pm,2022,Qtr 4,October,20,IRIS,Finchley road,1666774378,October,10,192275,1,1899-12-30 18:00:00,64800,1079657,Bus Driver,Thursday,2022
BARNET,221,Assault,3,1683038184,2023,Qtr 2,May,2,2023,Qtr 2,May,2,2460031,20230327,27,Passenger always comes on the bus and says his phone battery is dead and so cannot pay. I have seen him on the bus after using his phone so I know he is not always telling the truth. I challenged him on this occasion and he swore at me. I told him he doesn't need to use that sort of language with me and he threatened to kill me. I called Code Red for the police but he got off and got onto the next bus. Police came eventually and told me it was a waste of time and that I should have just carried on.,520009,19,6pm-10pm,2023,Qtr 1,March,27,IRIS,edgeware stsation,1683038184,March,3,191177,36,1899-12-30 19:00:00,68400,1135333,Bus Driver,Monday,2023
BARNET,221,Assault,3,1687860415,2023,Qtr 2,June,27,2023,Qtr 2,June,27,2460123,20230627,27,Third party was performing a U-turn as I was pulling into the bus stop. He was stuck in the middle of the road alongside my bus. After I had served the stop he overtook me and stopped in front of the bus and got out and tried to punch me through the window. I caught his hand to stop him from hitting me and closed the window. I tried Code Red and Blue but got no answer. The guy tried getting in the bus and only went away after I got my phone out and told him I was calling the police.,524953,9,6am-10am,2023,Qtr 2,June,27,IRIS,Lullington Garth,1687860415,June,6,192362,0,1899-12-30 09:15:00,33300,1155260,Bus Driver,Tuesday,2023
BARNET,221,Assault,3,1692189219,2023,Qtr 3,August,16,2023,Qtr 3,August,16,2460172,20230815,15,I was Leaving the bus stop and was looking on my offside as I needed to pull out more then usual as there was a car parked in the loading bay and was blocking the way a car let me pull out and as i was pulling out and was away from the kerb i checked my nearside of the bus and saw a lady reaching for the bus door to try and knock but she slipped off the kerb and in to the road i stopped immediately and opened the door to check if she was ok. which at this point the lady started verbally abusing and she continuously swearing and then after a bit came back to continue to verbally abuse me again. at this point i went code red.,529202,10,10am-2pm,2023,Qtr 3,August,15,IRIS,Station Road,1692189219,August,8,191887,1,1899-12-30 10:51:00,39060,1174868,Bus Driver,Tuesday,2023
BARNET,232,Assault,3,1692107751,2023,Qtr 3,August,15,2023,Qtr 3,September,5,2460172,20230815,15,I was in the 232  Route it was my last trip time orund 12:56pm one of the vehicle his cut me off from North circular and his tell me I’m goin to kill you and all so his show me that very big knife,529439,13,10am-2pm,2023,Qtr 3,August,15,IRIS,Arnos Grove,1693917629,August,8,192626,0,1899-12-30 13:50:00,49800,1174518,Passenger / Customer,Tuesday,2023
BARNET,240,Assault,3,1667381293,2022,Qtr 4,November,2,2022,Qtr 4,November,3,2459886,20221102,2,"I started picking up passengers in the pick point at the bus station. One of the passenger came with his bank card, the payment was failing and the same passenger came on the bus before with the same issue.

I have told him before to get pay as you go oyster card, I told him to get pay as you go oyster card but he got angry.

He started being verbally abusive, swearing, punching the assault screen very hard, after he was being aggressive i put the assault alarm on. He kept punching the assault screen and broke the assault screen.

The broken part of the assault screen fell on my left arm. I am not sure if it actually reached my arm.

Informed ibus & ibus got back to me after 15 minutes and I  was waiting for police assistance.

ibus supervisor Peter Gipson came to the scene after about 20 mins.

Police arrived and took my details.",519555,6,6am-10am,2022,Qtr 4,November,2,IRIS,"Bus Stand, pick up point",1667478676,November,11,191784,0,1899-12-30 06:39:00,23940,1083362,Bus Driver,Wednesday,2022
BARNET,240,Assault,3,1668416439,2022,Qtr 4,November,14,2022,Qtr 4,November,15,2459897,20221113,13,"There was a commotion upstairs following which two teenage girls and a teenage boy came down the stairs and let themselves out using the emergency door control while I was stationary in traffic. Not long afterwards, a young girl came up to my cab and told me that she had been spat at and assaulted. I pulled into the bus stop and called Code Red. Just a minute later, I managed to flag down a passing police van and they attended the incident. They used my spit kit and we all exchanged details. The girl's mother came and she, the girl and the police went off to Colindale Police station to complete the paperwork.",521222,13,10am-2pm,2022,Qtr 4,November,13,IRIS,Hale Lane,1668504774,November,11,192020,1,1899-12-30 13:25:00,48300,1086896,Passenger / Customer,Sunday,2022
BARNET,240,Assault,3,1678699915,2023,Qtr 1,March,13,2023,Qtr 1,March,13,2460014,20230310,10,"At Cloister Gardens Bus stop in Hayle Lane , Edgware , Heading towards Golders Green at approx 16.45 on the 10th March 2023 , 7 youths of Black origin ( IC2 )  aged between 15-18 years of age . Boarded the Bus and Said "" We're not Fucking Paying ""  . I politely asked them to either validate the travel by a oyster card or payment card and I was then called a "" Fucking Old Fat White Cunt ""  by the first youth and a "" White Cunt by the 2nd youth . The 3rd youth told me to "" Fuck off "" and the other 4 youths just laughed and followed the first 3 upstairs to the upper deck .  I called Code Red And Reported the Incident and requested police assistance . The youths also started swearing at other passengers on the bus as well . The got off the bus at 16.59 and boarded a 221 bus through the back doors ...  At 16.59 I cancelled Code Red and at 1700 I Radioed i-bus to let them know I was clear to continue ... My shift was 418 , Running Number 157 on the 240 Route .",520478,16,2pm-6pm,2023,Qtr 1,March,10,IRIS,Hale Lane,1678699915,March,3,192366,3,1899-12-30 16:45:00,60300,1121787,Bus Driver,Friday,2023
BARNET,240,Assault,3,1681388932,2023,Qtr 2,April,13,2023,Qtr 2,April,13,2460047,20230412,12,"As I was loading passengers on Station Road, a man barged past a woman that was touching in. I called him back and asked him to touch in. He began shouting at me to ""just do your job"" and started arguing with other passengers who challenged him too. I announced that we'd wait a short time while the man made up his mind to pay. He continued to shout at me and the other passengers. After a short while, a regular passenger offered to pay his fare and after confirming that she was sure, she paid and I said thank you to her and announced that we'd now be continuing our journey and thanked her over the PA. We moved on and everything would have been fine. However, the man came up to the cab and started gloating that he hadn't had to pay and I'd be taking him to his destination and he called me a prick amongst other insults. That was enough and I told him that I wouldn't be taking him to his destination and that he'd be getting off at the next stop. At the next stop he refused to get off calling me all sorts of things. I did Code Red and NMCC said they'd send police straight away. Not surprisingly, no police arrived. The next 240 came along 15 minutes later and he jumped off my bus and on to that one. I called NMCC and cancelled the police and informed iBus who gave me a curtailment.",520118,9,6am-10am,2023,Qtr 2,April,12,IRIS,Hale Lane,1681395463,April,4,192425,1,1899-12-30 09:30:00,34200,1130039,Bus Driver,Wednesday,2023
BARNET,240,Assault,3,1694416010,2023,Qtr 3,September,11,2023,Qtr 3,September,12,2460197,20230909,9,"While I pulled away from bus stop a male passenger open the door from outside and board on the bus. He start abusing me, I called code blue for police assistance after around half in hour police arrived and take away from bus. Due to delay I lost some mileages.",525265,21,6pm-10pm,2023,Qtr 3,September,9,IRIS,Golder green station,1694502688,September,9,187421,2,1899-12-30 21:21:00,76860,1185478,Bus Driver,Saturday,2023
BARNET,245,Assault,3,1671538449,2022,Qtr 4,December,20,2022,Qtr 4,December,20,2459933,20221219,19,"One passenger standing near the front door. I told him it's not safe. Than after he started to  swearing towards me. I even try to explain him that when I open the front door it will hit him by the door. But still swearing towards me. I don't have the choice except calling the IBUS, CODE RED and informing the other passenger about the situation. Atlast he was off from the bus at 2307 hrs. I informed the CODE RED and suggested me to take the bus away from the incident. I moved the bus called the IBUS for my remaining service.",523819,21,6pm-10pm,2022,Qtr 4,December,19,IRIS,Cricklewood Broadway,1671538449,December,12,185716,1,1899-12-30 21:47:00,78420,1097852,Bus Driver,Monday,2022
